자치구별,각세별,성별,항목,단위,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,2024 년
합계,37세,합계,주민등록인구(내국인 각세별/구별),,167486,163441,150721,133300,132133,127826,126247
합계,37세,남자,주민등록인구(내국인 각세별/구별),,84523,81497,75732,66644,65880,64006,62375
합계,37세,여자,주민등록인구(내국인 각세별/구별),,82963,81944,74989,66656,66253,63820,63872
합계,38세,합계,주민등록인구(내국인 각세별/구별),,163901,163787,159550,145727,130213,129669,125422
합계,38세,남자,주민등록인구(내국인 각세별/구별),,82238,82547,79484,73082,65006,64519,62732
합계,38세,여자,주민등록인구(내국인 각세별/구별),,81663,81240,80066,72645,65207,65150,62690
합계,39세,합계,주민등록인구(내국인 각세별/구별),,160933,160750,160264,154619,142701,127824,127163
합계,39세,남자,주민등록인구(내국인 각세별/구별),,79428,80459,80675,76977,71415,63709,63077
합계,39세,여자,주민등록인구(내국인 각세별/구별),,81505,80291,79589,77642,71286,64115,64086
합계,40세,합계,주민등록인구(내국인 각세별/구별),,136161,157941,157562,155766,151071,140499,125909
합계,40세,남자,주민등록인구(내국인 각세별/구별),,68814,77745,78628,78313,75085,70190,62668
합계,40세,여자,주민등록인구(내국인 각세별/구별),,67347,80196,78934,77453,75986,70309,63241
합계,41세,합계,주민등록인구(내국인 각세별/구별),,147034,133933,155036,153527,152769,149016,138603
합계,41세,남자,주민등록인구(내국인 각세별/구별),,71929,67495,76070,76425,76652,73863,69048
합계,41세,여자,주민등록인구(내국인 각세별/구별),,75105,66438,78966,77102,76117,75153,69555
합계,42세,합계,주민등록인구(내국인 각세별/구별),,144348,145000,131923,151396,150980,150876,147204
합계,42세,남자,주민등록인구(내국인 각세별/구별),,72107,70749,66451,74054,75042,75476,72703
합계,42세,여자,주민등록인구(내국인 각세별/구별),,72241,74251,65472,77342,75938,75400,74501
합계,43세,합계,주민등록인구(내국인 각세별/구별),,147229,142609,142835,128908,149020,149267,149164
합계,43세,남자,주민등록인구(내국인 각세별/구별),,72583,71127,69538,64812,72817,74044,74488
합계,43세,여자,주민등록인구(내국인 각세별/구별),,74646,71482,73297,64096,76203,75223,74676
합계,44세,합계,주민등록인구(내국인 각세별/구별),,159565,145629,140652,139969,127065,147369,147759
합계,44세,남자,주민등록인구(내국인 각세별/구별),,80031,71669,69971,68054,63751,71889,73111
합계,44세,여자,주민등록인구(내국인 각세별/구별),,79534,73960,70681,71915,63314,75480,74648
합계,45세,합계,주민등록인구(내국인 각세별/구별),,165782,157862,143585,137716,138082,125833,146004
합계,45세,남자,주민등록인구(내국인 각세별/구별),,81227,79030,70590,68521,67051,63030,71117
합계,45세,여자,주민등록인구(내국인 각세별/구별),,84555,78832,72995,69195,71031,62803,74887
합계,46세,합계,주민등록인구(내국인 각세별/구별),,169226,163865,155782,140733,135725,136639,124689
합계,46세,남자,주민등록인구(내국인 각세별/구별),,84500,80110,77856,69118,67463,66313,62401
합계,46세,여자,주민등록인구(내국인 각세별/구별),,84726,83755,77926,71615,68262,70326,62288
합계,47세,합계,주민등록인구(내국인 각세별/구별),,178517,167243,161763,152598,138672,134499,135402
합계,47세,남자,주민등록인구(내국인 각세별/구별),,89056,83328,79023,76216,68036,66790,65579
합계,47세,여자,주민등록인구(내국인 각세별/구별),,89461,83915,82740,76382,70636,67709,69823
합계,48세,합계,주민등록인구(내국인 각세별/구별),,172444,176438,165067,158526,150318,137417,133190
합계,48세,남자,주민등록인구(내국인 각세별/구별),,85459,87909,82189,77440,75016,67317,66104
합계,48세,여자,주민등록인구(내국인 각세별/구별),,86985,88529,82878,81086,75302,70100,67086
합계,49세,합계,주민등록인구(내국인 각세별/구별),,170068,170463,173977,161641,156004,148658,136026
합계,49세,남자,주민등록인구(내국인 각세별/구별),,84239,84366,86634,80418,76114,74089,66487
합계,49세,여자,주민등록인구(내국인 각세별/구별),,85829,86097,87343,81223,79890,74569,69539
합계,50세,합계,주민등록인구(내국인 각세별/구별),,166145,167963,168100,170243,159122,154267,147045
합계,50세,남자,주민등록인구(내국인 각세별/구별),,81670,83115,83177,84749,79101,75160,73200
합계,50세,여자,주민등록인구(내국인 각세별/구별),,84475,84848,84923,85494,80021,79107,73845
