"구분별","항목","단위","2015. 01 월","2015. 02 월","2015. 03 월","2015. 04 월","2015. 05 월","2015. 06 월","2015. 07 월","2015. 08 월","2015. 09 월","2015. 10 월","2015. 11 월","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월","2021. 01 월","2021. 02 월","2021. 03 월","2021. 04 월","2021. 05 월","2021. 06 월","2021. 07 월","2021. 08 월","2021. 09 월","2021. 10 월","2021. 11 월","2021. 12 월","2022. 01 월","2022. 02 월","2022. 03 월","2022. 04 월","2022. 05 월","2022. 06 월","2022. 07 월","2022. 08 월","2022. 09 월","2022. 10 월","2022. 11 월","2022. 12 월","2023. 01 월","2023. 02 월","2023. 03 월","2023. 04 월","2023. 05 월","2023. 06 월","2023. 07 월","2023. 08 월","2023. 09 월","2023. 10 월","2023. 11 월","2023. 12 월","2024. 01 월","2024. 02 월","2024. 03 월","2024. 04 월","2024. 05 월","2024. 06 월","2024. 07 월","2024. 08 월","2024. 09 월","2024. 10 월","2024. 11 월","2024. 12 월",
"금천구","이산화질소(NO2)","ppm","0.037","0.034","0.038","0.031","0.028","0.023","0.02","0.03","0.035","0.037","0.036","0.044","0.038","0.037","0.04","0.04","0.033","0.031","0.025","0.028","0.03","0.033","0.039","0.041","0.041","0.039","0.043","0.034","0.031","0.027","0.018","0.021","0.03","0.029","0.035","0.035","0.039","0.037","0.034","0.032","0.027","0.027","0.02","0.019","0.02","0.031","0.045","0.04","0.044","0.04","0.037","0.033","0.029","0.023","0.019","0.019","0.024","0.027","0.037","0.037","－","0.034","0.029","0.021","0.02","0.02","0.016","0.014","0.017","0.026","0.032","0.035","0.033","0.032","0.034","0.024","0.019","0.019","0.017","0.016","0.014","0.026","0.036","0.039","0.038","0.032","0.029","0.022","0.018","0.015","0.015","0.014","0.014","0.017","0.023","0.030","0.0304","0.0312","0.0315","0.0172","0.0149","0.0137","0.0113","0.0115","0.0170","0.0240","0.0240","0.0318","0.0292","0.0259","0.0247","0.0237","0.0180","0.0169","0.0115","0.0125","0.0143","0.0204","0.0268","0.0268",
"금천구","미세먼지(PM-10)","㎍/㎥","47","78","64","41","45","39","33","39","35","43","32","54","48","43","61","64","50","45","33","34","34","32","47","43","48","42","56","49","63","42","32","20","28","26","40","47","50","50","52","48","42","38","27","24","22","27","49","41","64","57","66","38","45","25","25","24","19","28","35","36","42","41","43","39","31","33","22","25","21","34","43","44","41","53","69","41","57","33","26","22","16","26","44","39","44","39","39","42","30","20","24","19","22","26","37","33","43","44","59","55","36","29","29","22","21","28","30","36","36","34","48","45","28","28","20","25","14","19","27","33",
"금천구","초미세먼지(PM-2.5)","㎍/㎥","27","28","32","23","25","26","23","29","24","29","25","34","30","25","33","30","29","30","22","22","23","19","28","27","33","30","42","28","24","23","23","13","20","16","24","33","33","30","33","23","20","23","16","14","11","16","31","27","40","37","42","19","26","18","18","16","12","16","21","31","33","29","26","21","18","21","15","16","13","20","27","28","23","34","35","20","21","23","19","15","10","14","26","24","32","27","21","21","15","10","17","11","13","17","23","20","27","33","30","21","18","18","18","16","11","15","17","22","26","24","21","20","13","16","10","16","11","14","19","21",
"금천구","오존(O3)","ppm","0.009","0.014","0.019","0.024","0.028","0.031","0.022","0.024","0.023","0.018","0.013","0.009","0.014","0.018","0.025","0.032","0.044","0.04","0.03","0.033","0.029","0.018","0.015","0.009","0.014","0.018","0.025","0.037","0.041","0.041","0.032","0.026","0.028","0.021","0.014","0.011","0.013","0.018","0.026","0.031","0.035","0.034","0.025","0.029","0.028","0.018","0.011","0.012","0.012","0.017","0.027","0.027","0.039","0.032","0.026","0.027","0.02","0.021","0.011","0.01","0.011","0.016","0.023","0.031","0.028","0.038","0.027","0.018","0.025","0.019","0.015","0.015","0.015","0.024","0.026","0.039","0.037","0.040","0.035","0.032","0.031","0.021","0.016","0.013","0.016","0.026","0.027","0.044","0.050","0.037","0.039","0.027","0.029","0.024","0.019","0.015","0.0162","0.0218","0.0369","0.0400","0.0395","0.0424","0.0345","0.0309","0.0322","0.0265","0.0228","0.0174","0.0164","0.0247","0.0340","0.0413","0.0428","0.0507","0.0308","0.0373","0.0338","0.0258","0.0196","0.0182",
"영등포구","아황산가스(SO2)","ppm","0.007","0.006","0.008","0.006","0.006","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.007","0.006","0.006","0.004","0.004","0.004","0.004","0.003","0.002","0.002","0.003","0.004","0.005","0.005","0.005","0.005","0.006","0.004","0.003","0.004","0.006","0.005","0.006","0.007","0.007","0.006","0.005","0.005","0.005","0.005","0.005","0.004","0.004","0.005","0.005","0.005","0.005","0.005","0.004","0.003","0.004","0.003","0.003","0.003","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.003","0.003","0.003","0.003","0.002","0.003","0.003","0.002","0.002","0.003","0.004","0.003","0.004","0.003","0.003","0.003","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.0032","0.0031","0.0032","0.0027","0.0030","0.0027","0.0027","0.0025","0.0025","0.0028","0.0027","0.0027","0.0030","0.0026","0.0025","0.0028","0.0027","0.0031","0.0023","0.0024","0.0023","0.0024","0.0028","0.0030",
"영등포구","일산화탄소(CO)","ppm","0.9","0.8","0.8","0.7","0.5","0.5","0.5","0.4","0.4","0.5","0.6","0.8","0.7","0.7","0.8","0.6","0.7","0.5","0.4","0.5","0.6","0.6","0.8","0.9","0.9","0.8","0.9","0.7","0.6","0.5","0.5","0.5","0.6","0.7","0.7","0.6","0.7","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.4","0.6","0.7","0.7","0.7","0.7","0.6","0.4","0.4","0.3","0.3","0.4","0.3","0.4","0.5","0.7","0.9","0.6","0.5","0.4","0.4","0.4","0.4","0.3","0.5","0.5","0.6","0.7","0.7","0.6","0.6","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.5","0.6","0.6","0.5","0.5","0.4","0.4","0.3","0.4","0.4","0.4","0.4","0.6","0.5","0.58","*0.62","*0.52","0.41","0.39","0.39","0.38","0.27","0.40","0.47","0.48","0.57","0.58","0.48","0.39","0.41","0.32","0.33","0.28","0.32","0.32","0.39","0.42","0.44",
"영등포구","이산화질소(NO2)","ppm","0.031","0.033","0.038","0.03","0.029","0.026","0.021","0.025","0.025","0.03","0.028","0.03","0.03","0.028","0.036","0.034","0.03","0.026","0.022","0.023","0.023","0.024","0.025","0.025","0.024","0.025","0.041","0.034","0.031","0.029","0.026","0.025","0.031","0.027","0.029","0.031","0.033","0.033","0.033","0.031","0.026","0.028","0.023","0.017","0.017","0.024","0.033","0.027","0.031","0.044","0.037","0.034","0.025","0.025","0.025","0.027","0.028","0.028","0.035","0.035","0.036","0.033","0.029","0.022","0.023","0.022","0.02","0.017","0.019","0.027","0.031","0.034","0.033","0.031","0.036","0.026","0.023","0.023","0.020","0.018","0.017","0.026","0.035","0.033","0.032","0.027","0.028","0.021","0.016","0.015","0.016","0.015","0.020","0.024","0.034","0.030","0.0323","0.0321","0.0311","0.0218","0.0212","0.0166","0.0160","0.0159","0.0174","0.0242","0.0226","0.0299","0.0292","0.0265","0.0214","0.0235","0.0168","0.0164","0.0118","0.0142","0.0144","0.0223","0.0270","0.0244",
"영등포구","미세먼지(PM-10)","㎍/㎥","49","85","79","51","50","38","31","35","30","48","39","56","58","52","79","73","67","54","38","41","44","45","59","50","53","49","70","62","71","46","37","26","41","36","48","54","57","60","59","58","53","48","30","31","31","41","54","47","70","60","76","52","64","37","26","24","22","30","36","35","41","39","42","40","32","36","22","24","20","33","41","39","35","46","66","39","57","33","25","22","16","28","46","38","42","38","40","42","31","21","26","21","24","27","40","36","48","45","63","58","37","27","26","22","21","28","29","34","34","33","45","45","28","28","20","25","17","24","29","31",
"영등포구","초미세먼지(PM-2.5)","㎍/㎥","25","30","32","24","24","22","20","23","16","25","23","26","26","22","31","30","32","31","22","23","25","21","28","29","32","28","38","24","21","21","21","13","18","14","19","32","36","33","39","31","32","34","20","19","14","21","29","27","43","40","55","29","38","26","22","17","14","17","21","25","29","27","25","19","16","20","14","16","11","18","25","27","21","29","34","18","19","22","17","15","9","15","27","24","29","26","22","22","17","12","18","12","12","14","21","17","26","29","29","19","16","15","17","15","13","17","17","22","25","25","22","24","16","19","14","18","11","14","17","19",
"영등포구","오존(O3)","ppm","0.015","0.017","0.02","0.028","0.034","0.039","0.028","0.026","0.024","0.017","0.01","0.008","0.01","0.013","0.02","0.025","0.04","0.039","0.031","0.038","0.034","0.02","0.016","0.008","0.013","0.014","0.018","0.034","0.042","0.042","0.035","0.029","0.033","0.023","0.014","0.01","0.011","0.014","0.021","0.025","0.033","0.032","0.019","0.033","0.033","0.019","0.012","0.01","0.012","－","0.022","0.022","0.035","0.034","0.027","0.031","0.024","0.021","0.012","0.01","0.012","0.017","0.025","0.035","0.033","0.042","0.029","0.019","0.027","0.02","0.013","0.012","0.013","0.020","0.022","0.034","0.033","0.039","0.040","0.035","0.029","0.020","0.016","0.012","0.014","0.023","0.025","0.040","0.047","0.034","0.036","0.030","0.031","0.022","0.016","0.014","0.0143","0.0206","0.0314","0.0355","0.0394","0.0502","0.0381","0.0356","0.0329","0.0272","0.0230","0.0177","0.0197","0.0251","0.0359","0.0421","0.0448","0.0564","0.0376","0.0465","0.0364","0.0266","0.0203","0.0196",
"동작구","아황산가스(SO2)","ppm","0.008","0.008","0.007","0.006","0.006","0.006","0.006","0.006","0.006","0.004","0.004","0.005","0.005","0.005","0.005","0.005","0.004","0.004","0.004","0.004","0.004","0.003","0.004","0.004","0.004","0.004","0.005","0.004","0.004","0.003","0.003","0.003","0.004","0.003","0.004","0.004","0.004","0.005","0.004","0.004","0.003","0.004","0.004","0.003","0.003","0.003","0.004","0.004","0.004","0.004","0.004","0.003","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.002","0.003","0.003","0.004","0.003","0.0030","0.0028","0.0030","0.0025","0.0027","0.0026","0.0025","0.0025","0.0025","0.0026","0.0025","0.0024","0.0026","0.0023","0.0023","0.0025","0.0024","0.0027","0.0021","0.0023","0.0023","0.0024","0.0026","0.0027",
"동작구","일산화탄소(CO)","ppm","0.7","0.6","0.6","0.5","0.4","0.4","0.5","0.5","0.5","0.4","0.5","0.7","0.6","0.6","0.5","0.5","0.4","0.4","0.3","0.3","0.5","0.5","0.6","0.6","0.7","0.6","0.6","0.5","0.4","0.4","0.3","0.3","0.4","0.4","0.5","0.6","0.6","0.6","0.5","0.4","0.4","0.4","0.3","0.3","0.4","0.5","0.6","0.6","0.7","0.6","0.5","0.4","0.4","0.4","0.3","0.4","0.4","0.4","0.5","0.6","0.6","0.5","0.4","0.4","0.4","0.4","0.4","－","0.3","0.4","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.3","0.3","0.3","0.4","0.5","0.6","0.6","0.5","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.4","0.5","0.5","0.55","0.52","0.46","0.36","0.34","0.34","0.31","0.31","0.33","0.39","0.41","0.52","0.53","0.48","0.39","0.39","0.31","0.32","0.27","0.32","0.31","0.38","0.43","0.46",
"동작구","이산화질소(NO2)","ppm","0.042","0.039","0.04","0.035","0.029","0.028","0.023","0.025","0.03","0.035","0.039","0.048","0.04","0.037","0.039","0.036","0.03","0.028","0.024","0.025","0.028","0.032","0.037","0.041","0.04","0.037","0.041","0.031","0.026","0.024","0.021","0.022","0.029","0.03","0.036","0.038","0.038","0.036","0.034","0.03","0.023","0.022","0.018","0.017","0.02","0.03","0.043","0.041","0.044","0.041","0.036","0.031","0.027","0.021","0.017","0.018","0.023","0.027","0.038","0.039","0.039","0.034","0.028","0.02","0.019","0.018","0.016","0.014","0.017","0.027","0.032","0.034","0.034","0.030","0.033","0.023","0.018","0.017","0.015","0.015","0.015","0.023","0.032","0.036","0.036","0.027","0.026","0.018","0.014","0.012","0.013","0.012","0.016","0.022","0.031","0.030","0.0321","0.0308","0.0273","0.0178","0.0158","0.0130","0.0118","0.0125","0.0148","0.0200","0.0231","0.0321","0.0304","0.0272","0.0220","0.0215","0.0148","0.0145","0.0104","0.0125","0.0135","0.0199","0.0267","0.0261",
"동작구","미세먼지(PM-10)","㎍/㎥","48","80","67","37","41","33","26","37","29","47","36","43","44","38","61","69","51","41","28","29","35","34","46","43","47","41","54","49","52","38","37","24","33","32","45","51","52","53","50","47","42","37","28","25","21","29","53","44","64","59","68","39","48","29","30","30","29","35","44","46","50","48","51","49","39","39","25","27","24","38","44","44","40","51","69","44","64","36","27","25","17","29","47","43","49","44","44","46","32","22","28","23","25","28","41","40","50","47","66","59","37","27","26","22","22","27","30","37","37","34","46","47","29","31","21","25","17","23","29","34",
"동작구","초미세먼지(PM-2.5)","㎍/㎥","24","29","32","22","23","21","22","23","18","30","23","27","27","22","37","34","26","24","17","18","23","16","26","27","34","28","37","26","23","22","24","13","20","15","25","34","35","32","34","23","22","24","14","12","8","12","24","24","40","39","46","19","27","18","22","20","12","17","24","32","32","31","28","23","20","21","15","16","12","19","24","28","24","32","34","19","22","20","15","13","8","13","27","25","31","28","22","24","19","14","19","12","14","16","24","21","28","34","31","21","18","17","17","14","13","15","17","23","26","23","22","20","15","18","13","17","10","13","17","21",
"동작구","오존(O3)","ppm","0.014","0.017","0.025","0.029","0.036","0.039","0.035","0.035","0.028","0.021","0.011","0.01","0.015","0.02","0.026","0.03","0.04","0.036","0.026","0.028","0.026","0.014","0.015","0.01","0.015","0.021","0.03","0.041","0.046","0.043","0.03","0.025","0.028","0.02","0.015","0.011","0.014","0.019","0.026","0.031","0.037","0.039","0.027","0.032","0.029","0.02","0.012","0.012","0.013","0.019","0.031","0.031","0.042","0.036","0.028","0.029","0.02","0.018","0.012","0.01","0.012","0.016","0.023","0.031","0.028","0.038","0.026","0.018","0.026","0.025","0.016","0.014","0.014","0.023","0.025","0.038","0.038","0.040","0.034","0.029","0.029","0.022","0.020","0.014","0.016","0.027","0.030","0.045","0.050","0.037","0.039","0.034","0.033","0.024","0.019","0.014","0.0165","0.0226","0.0363","0.0440","0.0453","0.0510","0.0393","0.0389","0.0366","0.0319","0.0259","0.0169","0.0183","0.0244","0.0375","0.0455","0.0459","0.0569","0.0360","0.0441","0.0346","0.0246","0.0199","0.0184",
"관악구","아황산가스(SO2)","ppm","0.007","0.007","0.007","0.005","0.006","0.005","0.003","0.004","0.003","0.004","0.004","0.005","0.005","0.006","0.006","0.005","0.005","0.005","0.005","0.006","0.006","0.006","0.007","0.006","0.007","0.007","0.005","0.004","0.005","0.004","0.005","0.005","0.005","0.006","0.006","0.007","0.007","0.007","0.004","0.004","0.003","0.004","0.004","0.003","0.003","0.003","0.004","0.005","0.005","0.005","0.006","0.004","0.004","0.004","0.004","0.004","－","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.0031","0.0030","0.0032","0.0028","0.0031","0.0030","0.0029","0.0027","0.0027","0.0029","0.0026","0.0026","0.0029","0.0024","0.0025","0.0030","0.0028","0.0031","0.0025","0.0027","0.0025","0.0026","0.0028","0.0031",
"관악구","일산화탄소(CO)","ppm","0.9","0.8","0.7","0.6","0.5","0.5","0.4","0.5","0.5","0.6","0.7","0.9","0.7","0.7","0.6","0.6","0.5","0.5","0.4","0.4","0.5","0.5","0.7","0.8","0.7","0.7","0.7","0.5","0.4","0.4","0.4","0.3","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.3","0.3","0.3","0.3","0.4","0.6","0.6","0.7","0.6","0.5","0.4","0.4","0.3","0.2","0.3","－","0.5","0.6","0.6","0.7","0.6","0.5","0.4","0.5","0.5","0.4","0.3","0.4","0.5","0.6","0.6","0.6","0.6","0.6","0.4","0.4","0.5","0.4","0.4","0.4","0.5","0.6","0.7","0.7","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.6","0.6","0.64","0.61","0.56","0.45","0.43","0.41","0.39","0.38","0.41","0.49","0.48","0.61","0.60","0.50","0.42","0.47","0.34","0.34","0.29","0.33","0.32","0.41","0.47","0.48",
"관악구","이산화질소(NO2)","ppm","0.041","0.043","0.042","0.033","0.033","0.032","0.025","0.027","0.031","0.039","0.04","0.042","0.042","0.037","0.035","0.038","0.032","0.027","0.026","0.028","0.032","0.037","0.042","0.046","0.045","0.045","0.047","0.033","0.028","0.024","0.023","0.025","0.028","0.027","0.034","-","0.039","0.038","0.036","0.035","0.027","0.028","0.022","0.021","0.022","0.033","0.044","0.042","0.047","0.042","0.033","0.03","0.028","0.022","0.019","0.02","－","0.019","0.039","0.039","0.04","0.037","0.032","0.023","0.023","0.022","0.02","0.015","0.019","0.031","0.037","0.037","0.037","0.035","0.039","0.027","0.023","0.022","0.018","0.016","0.015","0.025","0.034","0.035","0.036","0.030","0.030","0.021","0.016","0.014","0.015","0.014","0.019","0.024","0.034","0.033","0.0336","0.0332","0.0296","0.0202","0.0195","0.0161","0.0144","0.0137","0.0163","0.0232","0.0230","0.0315","0.0306","0.0276","0.0230","0.0242","0.0164","0.0155","0.0109","0.0130","0.0136","0.0222","0.0281","0.0273",
"관악구","미세먼지(PM-10)","㎍/㎥","53","86","78","49","50","41","38","41","34","51","40","52","49","45","62","66","55","50","38","38","40","39","50","45","49","43","55","59","64","48","35","23","32","28","37","45","47","48","57","57","50","44","26","25","25","35","61","47","72","63","76","48","62","35","26","24","－","－","44","43","43","41","45","43","35","37","23","24","21","33","38","36","33","44","61","38","57","33","25","22","15","26","42","36","38","37","40","45","33","24","29","24","26","30","45","39","50","49","71","66","43","32","30","26","25","33","33","40","39","37","52","54","33","34","24","28","19","27","32","33",
"관악구","초미세먼지(PM-2.5)","㎍/㎥","19","32","35","23","28","24","21","26","20","28","26","32","29","25","33","31","32","32","25","26","26","24","31","32","34","30","41","27","28","29","29","13","18","14","19","33","35","33","39","30","28","30","16","15","14","20","38","29","42","39","50","26","34","23","14","13","－","－","20","27","28","27","23","18","17","20","13","14","10","17","21","22","17","27","29","17","19","19","15","13","7","13","25","22","27","24","20","22","17","13","18","12","13","15","22","18","24","28","33","23","19","18","17","15","13","16","16","22","24","23","22","23","16","19","13","18","11","14","18","19",
"관악구","오존(O3)","ppm","0.009","0.013","0.019","0.03","0.038","0.045","0.03","0.027","0.023","0.017","0.009","0.008","0.013","0.018","0.027","0.032","0.043","0.043","0.027","0.033","0.032","0.02","0.016","0.01","0.013","0.018","0.025","0.038","0.044","0.042","0.028","0.023","0.025","0.017","0.012","0.009","0.012","0.017","0.026","0.032","0.034","0.037","0.026","0.032","0.027","0.016","0.009","0.012","0.011","0.016","0.034","0.032","0.046","0.043","0.042","0.031","－","0.013","0.011","0.011","0.012","0.016","0.024","0.035","0.033","0.044","0.03","0.021","0.028","0.022","0.014","0.013","0.012","0.020","0.022","0.034","0.033","0.040","0.044","0.037","0.038","0.026","0.019","0.012","0.015","0.022","0.028","0.043","0.049","0.035","0.034","0.027","0.027","0.020","0.015","0.013","0.0137","0.0186","0.0280","0.0396","0.0432","0.0501","0.0399","0.0379","0.0355","0.0283","0.0240","0.0166","0.0177","0.0231","0.0338","0.0417","0.0459","0.0544","0.0378","0.0439","0.0341","0.0253","0.0201","0.0178",
"서초구","아황산가스(SO2)","ppm","0.006","0.006","0.006","0.005","0.006","0.005","0.004","0.004","0.004","0.005","0.005","0.006","0.006","0.006","0.006","0.005","0.004","0.004","0.004","0.003","0.004","0.004","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.006","0.004","0.004","0.005","0.004","0.005","0.005","0.006","0.007","0.004","0.004","0.003","0.004","0.004","0.003","0.003","0.003","0.003","0.004","0.005","0.005","0.004","0.004","0.003","0.004","0.004","0.004","0.003","0.003","0.004","0.003","0.003","0.003","0.003","0.003","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.004","0.003","0.004","0.004","0.004","0.003","0.003","0.002","0.003","0.003","0.003","0.004","0.003","0.002","0.003","0.003","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.0028","0.0028","0.0031","0.0025","0.0029","0.0028","0.0029","0.0029","0.0032","0.0026","0.0025","0.0028","0.0028","0.0025","0.0023","0.0025","0.0024","0.0027","0.0021","0.0022","0.0023","0.0021","0.0024","0.0028",
"서초구","일산화탄소(CO)","ppm","0.8","0.7","0.7","0.6","0.5","0.5","0.4","0.4","0.3","0.5","0.5","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.5","0.6","0.6","0.6","0.7","0.7","0.6","0.6","0.5","0.5","0.4","0.5","0.4","0.5","0.5","0.6","0.7","0.6","0.5","0.5","0.4","0.3","0.3","0.3","0.3","0.3","0.4","0.5","0.4","0.5","0.4","0.4","0.3","0.4","0.3","0.3","0.3","0.3","0.3","0.4","0.5","0.5","0.4","0.3","0.3","0.3","0.3","0.2","0.3","0.3","0.5","0.5","0.5","0.4","0.4","0.4","0.3","0.4","0.4","0.5","0.4","0.4","0.4","0.5","0.5","0.6","0.5","0.5","0.4","0.3","0.3","0.4","0.3","0.3","0.4","0.5","0.4","0.51","0.54","0.52","0.39","0.34","0.34","0.36","0.34","0.33","0.40","0.39","0.49","0.48","0.41","0.35","0.46","0.35","0.35","0.37","0.35","0.30","0.35","0.38","0.37",
"서초구","이산화질소(NO2)","ppm","0.032","0.031","0.035","0.03","0.028","0.026","0.02","0.025","0.027","0.034","0.031","0.037","0.031","0.03","0.035","0.037","0.031","0.029","0.026","0.021","0.026","0.031","0.037","0.037","0.033","0.033","0.037","0.03","0.027","0.025","0.019","0.019","0.025","0.027","0.031","0.03","0.031","0.028","0.032","0.03","0.025","0.026","0.021","0.019","0.021","0.03","0.038","0.032","0.038","0.036","0.033","0.03","0.027","0.022","0.019","0.022","0.025","0.028","0.038","0.042","0.038","0.034","0.029","0.022","0.021","0.02","0.019","0.016","0.019","0.031","0.035","0.034","0.033","0.031","0.033","0.024","0.022","0.023","0.020","0.018","0.015","0.024","0.032","0.031","0.032","0.026","0.025","0.019","0.016","0.012","0.016","0.014","0.020","0.024","0.032","0.029","0.0307","0.0315","0.0293","0.0188","0.0181","0.0156","0.0153","0.0136","0.0153","0.0221","0.0199","0.0260","0.0240","0.0217","0.0190","0.0222","0.0153","0.0141","0.0102","0.0121","0.0108","0.0170","0.0202","0.0183",
"서초구","미세먼지(PM-10)","㎍/㎥","55","92","77","48","46","35","28","33","29","51","37","51","56","46","68","76","62","44","34","32","39","40","54","50","56","49","65","64","70","43","30","21","34","29","46","58","58","54","62","64","43","39","21","21","22","31","56","41","63","54","74","49","62","32","24","23","19","29","47","47","47","48","51","48","42","42","22","21","20","36","45","43","40","52","75","50","69","37","24","19","12","24","44","36","39","37","42","47","34","22","22","17","22","26","43","37","48","49","73","67","42","30","27","21","21","34","39","41","41","36","63","67","37","36","20","23","14","28","33","40",
"서초구","초미세먼지(PM-2.5)","㎍/㎥","28","34","29","20","21","20","18","21","16","24","21","25","26","21","28","25","28","28","21","21","23","19","25","26","27","27","44","28","24","20","18","11","17","14","22","35","35","26","37","27","20","23","13","11","8","15","29","19","30","31","48","26","35","25","20","16","11","13","22","30","29","29","29","24","26","18","11","11","8","14","25","27","20","31","38","21","22","17","11","11","5","12","29","23","28","24","21","20","16","13","13","8","10","13","24","18","25","30","33","23","18","16","13","9","9","16","21","21","24","23","24","26","16","18","10","13","7","14","18","20",
"서초구","오존(O3)","ppm","0.009","0.014","0.019","0.025","0.031","0.037","0.031","0.03","0.021","0.016","0.01","0.008","0.012","0.017","0.023","0.029","0.04","0.038","0.028","0.034","0.028","0.018","0.014","0.01","0.016","0.019","0.025","0.037","0.043","0.042","0.033","0.024","0.025","0.018","0.013","0.01","0.013","0.02","0.026","0.033","0.038","0.04","0.027","0.032","0.025","0.016","0.01","0.012","0.012","0.018","0.028","0.027","0.045","0.04","0.033","0.036","0.027","0.025","0.017","0.017","0.019","0.024","0.033","0.045","0.042","0.052","0.036","0.021","0.027","0.022","0.015","0.015","0.015","0.023","0.025","0.037","0.035","0.040","0.037","0.034","0.031","0.023","0.019","0.015","0.017","0.027","0.028","0.043","0.047","0.036","0.038","0.031","0.026","0.020","0.014","0.013","0.0149","0.0199","0.0308","0.0348","0.0396","0.0481","0.0378","0.0346","0.0296","0.0219","0.0198","0.0146","0.0170","0.0214","0.0327","0.0381","0.0442","0.0568","*0.0451","0.0450","0.0351","0.0227","0.0192","0.0184",
"강남구","아황산가스(SO2)","ppm","0.007","0.006","0.007","0.005","0.006","0.005","0.005","0.005","0.004","0.005","0.005","0.005","0.006","0.006","0.006","0.006","0.006","0.005","0.004","0.004","0.004","0.004","0.005","0.006","0.005","0.005","0.006","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.006","0.006","0.006","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.005","0.005","0.005","－","－","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.002","0.003","0.003","0.003","0.004","0.004","0.004","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.003","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.0032","0.0033","0.0035","0.0030","0.0032","0.0032","0.0030","0.0031","0.0028","0.0031","0.0031","0.0029","0.0028","0.0023","0.0024","0.0027","0.0027","0.0029","*0.0022","0.0024","0.0023","0.0023","0.0026","0.0026",
"강남구","일산화탄소(CO)","ppm","0.6","0.5","0.5","0.4","0.4","0.4","0.3","0.4","0.4","0.5","0.5","0.6","0.6","0.5","0.5","0.5","0.4","0.4","0.3","0.4","0.4","0.4","0.5","0.6","0.6","0.6","0.5","0.4","0.3","0.3","0.4","0.3","0.4","0.4","0.5","0.6","0.6","0.6","0.5","0.4","0.4","0.4","0.3","0.3","0.4","0.4","0.6","0.6","0.7","0.6","0.5","0.3","0.4","0.3","0.3","0.4","－","0.4","0.6","0.6","0.7","0.6","0.5","0.4","0.4","0.4","0.4","0.3","0.4","0.5","0.6","0.6","0.6","0.6","0.6","0.4","0.4","0.4","0.3","0.3","0.3","0.4","0.5","0.5","0.6","0.5","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.4","0.5","0.5","0.54","0.51","0.48","0.37","0.35","0.36","0.35","0.34","0.34","0.40","0.40","0.49","0.51","0.46","0.38","0.40","0.33","0.33","0.29","0.31","0.31","0.36","0.40","0.45",
